Date,Time,Image Name,PValue,Result
2024-05-05,22:40:36,0275.png,0.9987844851079399,Authentic
2024-05-05,22:40:36,0300.png,0.8480899875265044,Potential deepfake
2024-05-05,22:40:36,0100.png,0.8658508807389274,Potential deepfake
2024-05-05,22:40:36,0075.png,0.7803725678017974,Potential deepfake
2024-05-05,22:40:36,0000.png,0.9550681530951577,Potential deepfake
2024-05-05,22:40:36,0175.png,0.39464767362617553,Potential deepfake
2024-05-05,22:40:36,0375.png,0.9991328973898433,Authentic
2024-05-05,22:40:36,0200.png,0.8551650074292801,Potential deepfake
2024-05-05,22:40:36,0225.png,0.6806420555056559,Potential deepfake
2024-05-05,22:40:36,0350.png,0.9262143677440904,Potential deepfake
2024-05-05,22:40:36,0150.png,0.26114174184546823,Potential deepfake
2024-05-05,22:40:36,0025.png,0.9793001206569526,Authentic
2024-05-05,22:40:36,0050.png,0.8235764516757275,Potential deepfake
2024-05-05,22:40:36,0125.png,0.5578196333163453,Potential deepfake
2024-05-05,22:40:36,0325.png,0.8194823368450618,Potential deepfake
2024-05-05,22:40:36,0250.png,0.793530843160751,Potential deepfake
2024-05-05,22:40:36,0275.png,0.99878448510794,Authentic
2024-05-05,22:40:36,0300.png,0.8480899875265044,Potential deepfake
2024-05-05,22:40:36,0100.png,0.8658508807389274,Potential deepfake
2024-05-05,22:40:36,0075.png,0.7803725678017974,Potential deepfake
2024-05-05,22:40:36,0000.png,0.9550681530951576,Potential deepfake
2024-05-05,22:40:36,0175.png,0.3946476736261755,Potential deepfake
2024-05-05,22:40:36,0375.png,0.9991328973898432,Authentic
2024-05-05,22:40:36,0200.png,0.8551650074292801,Potential deepfake
2024-05-05,22:40:36,0225.png,0.6806420555056559,Potential deepfake
2024-05-05,22:40:36,0350.png,0.9262143677440904,Potential deepfake
2024-05-05,22:40:36,0150.png,0.2611417418454682,Potential deepfake
2024-05-05,22:40:36,0025.png,0.9793001206569526,Authentic
2024-05-05,22:40:36,0050.png,0.8235764516757275,Potential deepfake
2024-05-05,22:40:36,0125.png,0.5578196333163453,Potential deepfake
2024-05-05,22:40:36,0325.png,0.8194823368450618,Potential deepfake
2024-05-05,22:40:36,0250.png,0.793530843160751,Potential deepfake
2024-05-06,14:57:10,0200.png,0.8551650074292801,Potential deepfake
